index_gen,index_ind,htg_sp,clg_sp,wwr,insulation_thickness,carbon_emissons,discomfort_hours
52,10,20.5,25.5,0.200126439811637,0.447604311132718,227107.3112,1880.5
52,11,18,25.5,0.20012628916155,0.447604311132718,221011.4783,2054.33
52,12,20.5,25.5,0.200126439811637,0.447604311132718,227107.3112,1880.5
52,13,20.5,25.5,0.200126439949175,0.447604311132718,227107.3112,1880.5
52,14,18,27,0.200126441613168,0.447606588152393,215661.2723,3507.67
52,15,22,26.5,0.200126441641366,0.447664160160097,228343.0676,1721
52,16,18,26.5,0.200126439811637,0.4476608816371,217427.3468,2980
52,17,22,25.5,0.200136813627107,0.470128377383792,234517.3927,665.17
52,18,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
52,19,22,25.5,0.200126441641366,0.447662111290882,234646.3484,670.67
52,20,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
53,1,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
53,2,18.5,25.5,0.200126439811637,0.447661128578314,221765.8423,2045.33
53,3,18.5,26.5,0.200126439811637,0.447606588152393,218039.9353,2972.67
53,4,21,25.5,0.200126439811637,0.447604311132718,229230.9914,1594
53,5,18.5,27,0.200126439811637,0.447660946954077,216204.4922,3502.67
53,6,18,27,0.200126441613168,0.447606588152393,215661.2723,3507.67
53,7,22,26.5,0.200126441641366,0.447664160160097,228343.0676,1721
53,8,18,26.5,0.200126439811637,0.4476608816371,217427.3468,2980
53,9,22,25.5,0.200136813627107,0.470128377383792,234517.3927,665.17
53,10,20.5,25.5,0.200126323904658,0.447661614751157,227107.0547,1880.5
53,11,22,26,0.200126439811637,0.446155780198553,231546.9958,940.33
53,12,18,25.5,0.200126439811637,0.447658071524424,221011.3421,2054.33
53,13,18,27,0.200126439811637,0.447604311132718,215661.277,3507.67
53,14,22,25.5,0.200126441641366,0.447662111290882,234646.3484,670.67
53,15,18,27,0.200126439809128,0.447604311132718,215661.277,3507.67
53,16,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
53,17,20.5,25.5,0.20012628916155,0.447660842751116,227107.0585,1880.5
53,18,18.5,25.5,0.200126439811637,0.447604311132718,221766.0031,2045.33
53,19,22,26.5,0.200126439811637,0.447604311132718,228343.4029,1721
53,20,20.5,27,0.200126439811637,0.447604311132718,220121.3283,3404.33
54,1,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
54,2,18.5,25.5,0.200126439811637,0.447661128578314,221765.8423,2045.33
54,3,21,25.5,0.200126439811637,0.447604311132718,229230.9914,1594
54,4,22,26.5,0.200126441641366,0.447664160160097,228343.0676,1721
54,5,18,26.5,0.200126439811637,0.4476608816371,217427.3468,2980
54,6,22,25.5,0.200136813627107,0.470128377383792,234517.3927,665.17
54,7,20.5,25.5,0.200126323904658,0.447661614751157,227107.0547,1880.5
54,8,22,26,0.200126439811637,0.446155780198553,231546.9958,940.33
54,9,18,25.5,0.20012643981161,0.447662111290882,221011.3319,2054.33
54,10,21,25.5,0.200126439811637,0.447604311132718,229230.9914,1594
54,11,18.5,27,0.200126439925531,0.447661194787702,216204.4916,3502.67
54,12,21,25.5,0.200126441641366,0.447604311132718,229230.9914,1594
54,13,18,27,0.200126439809128,0.447606861563617,215661.2712,3507.67
54,14,18.5,26.5,0.200126323904658,0.447658096075769,218039.7995,2972.67
54,15,18,27,0.200126441613168,0.447606588152393,215661.2723,3507.67
54,16,22,25.5,0.200126441641366,0.447662111290882,234646.3484,670.67
54,17,21.5,25.5,0.200134629541341,0.445887833322099,231747.4461,1153.83
54,18,20.5,25.5,0.20012628916155,0.447660842751116,227107.0585,1880.5
54,19,18.5,25.5,0.200126439808967,0.447660842751116,221765.8431,2045.33
